해결방안,우선순위,예상 효과,필요 리소스,담당팀,예상 완료일,진행 상태,관련 이슈 URL
펌웨어 업데이트 (20분→1분 리셋),높음,"고객 데이터 끊김 시간 95% 단축 (20분→1분), 사용자 경험 대폭 개선","펌웨어 개발 완료, 전 노드박스 배포",Tech/Sensor팀,2026-01-31,진행중 (팜팜 완료),https://www.notion.so/2da01885b34b81fc8fd2c258b649e676
안테나 연장 케이블 배포,높음,통신 신호 강도 개선,안테나 케이블 재고 확보 및 배송,Sensor팀/BD팀,진행중,진행중,https://www.notion.so/2d501885b34b80c591f0ef84bcee1a2b
LTE 통신사 교체 검토,높음,통신 안정성 향상 (50개 미복구 농가 해결 가능),통신사 계약 협상 및 유심 교체,경영지원팀/Tech팀,2026-02-28,검토중,https://www.notion.so/2dc01885b34b818796dfed430c913f0b
WiFi 모델 전환,중,안정적 통신 환경 제공 (WiFi 가능 농가 대상),WiFi 노드박스 재고 확보,BD팀/Sensor팀,진행중,진행중,https://www.notion.so/32df82c240c24d199a89608018143a4b
원격 캘리브레이션 UI/UX 개선,중,고객 자가 해결 능력 향상 → CS 부담 감소,개발 리소스 (웹/앱),Dev팀,2026-02-15,개발 진행중,https://www.notion.so/2da01885b34b8151a0beee7f392d21c2
센서 청소/관리 교육 자료,중,센서 수명 연장 및 정확도 유지,교육 자료 제작 (동영상/문서),Sensor팀/CS팀,2026-01-20,작성중,https://www.notion.so/2d201885b34b8078a72dfa104bf8e87a
온도 보상(ATC) 알고리즘 검증,중,EC 센서 정확도 향상,EC 센서 개발 검증,Sensor팀,2026-01-31,검증중,https://www.notion.so/2df01885b34b80dabbd3c14b8f42f305
노드박스 출하 전 검사 강화,중,초기 불량률 감소 → AS 요청 감소,검사 프로세스 수립 및 인력,Sensor팀,2026-01-15,프로세스 수립중,https://www.notion.so/2ce01885b34b80228953e016c29aed7f
고객 대응 프로토콜 수립,높음,"고객 신뢰 회복, 빠른 문제 해결",CS 프로토콜 및 Fallback 알림 시스템,CS팀/Dev팀,2026-01-31,기획 진행중,https://www.notion.so/2da01885b34b81eda297ce968a093a90
데이터 끊김 자동 알림 시스템,중,능동적 고객 지원 → 고객 만족도 향상,백엔드/프론트엔드 개발,Dev팀,2026-02-28,기획중,https://www.notion.so/2da01885b34b81eda297ce968a093a90
노드박스 버전별 관리 체계,중,유지보수 효율성 향상 (경농 등 맞춤형 대응),버전 관리 시스템 구축,Tech팀/Sensor팀,2026-02-15,협의중,https://www.notion.so/2c301885b34b80a09cf9d9aba2fa585f
